ID Usuario,subject,fecha_recepcion_requerimiento,descriptions_anonymized
0010011,El ventilador hace mucho ruido y el equipo se calienta demasiado.,2022-06-16 18:59:43,"problema: he notado que desde la semana pasada: el ventilador hace mucho ruido y el equipo se calienta demasiado.. además, también he notado que puerto usb no reconoce dispositivos.. contacto: XY, digital edge."
0010026,Quiero solicitar una mejora en la interfaz de usuario del software actual.,2023-11-21 18:52:34,"recientemente he tenido un inconveniente: quiero solicitar una mejora en la interfaz de usuario del software actual.. atentamente, XY de future systems."
0010027,Se ha olvidado la contraseña de usuario.,2022-08-27 14:05:29,soy XY de global innovations y tengo el siguiente problema: el problema se presenta desde hace unos días: se ha olvidado la contraseña de usuario.
0010028,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-12-14 18:34:43,"desde secureit, XY asprilla informa: recientemente he tenido un inconveniente: batería no carga, sobrecalentamiento y pantalla con píxeles muertos.. y para colmo, impresora no detectada o no imprime."
0010003,Problemas de licencias y antivirus ineficaz.,2022-01-20 03:18:22,"desde future systems, XY informa: problemas de licencias y antivirus ineficaz."
0010029,Se ha borrado información accidentalmente.,2022-07-14 00:23:16,"problema: el problema se presenta desde hace unos días: se ha borrado información accidentalmente.. contacto: XY funes, XY."
0010030,"Mi pantalla parpadea constantemente, me está causando dolor de cabeza. ¿Se puede reparar o necesito una nueva?",2023-11-06 07:51:03,"reporte de cloud services por parte de XY: mi pantalla parpadea constantemente, me está causando dolor de cabeza. ¿se puede reparar o necesito una nueva?"
0010031,"Estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?",2023-01-31 20:24:41,"he notado que desde la semana pasada: estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?. atentamente, XY de code builders."
0010032,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2023-06-08 02:21:00,"desde global innovations, XY informa: esto pasa desde ayer: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.. y para colmo, error al iniciar sesión y contraseña olvidada."
0010033,Me siento impotente ante estos fallos continuos.,2023-10-08 09:02:28,"problema: recientemente he tenido un inconveniente: me siento impotente ante estos fallos continuos.. contacto: XY funes, XY."
0010034,"El WiFi sigue cayéndose, es imposible trabajar. Necesito una solución permanente.",2023-04-11 05:25:09,"esto comenzó hace un par de horas: el wifi sigue cayéndose, es imposible trabajar. necesito una solución permanente.. atentamente, XY de XY."
0010030,"El ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.",2022-12-01 00:42:54,"XY (XY) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: el ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más."
0010035,¿Pueden guiarme paso a paso para solucionarlo?,2022-07-08 20:41:29,XY funes (data dynamics) reporta el siguiente inconveniente: ¿pueden guiarme paso a paso para solucionarlo?
0010036,"El WiFi sigue cayéndose, es imposible trabajar. Necesito una solución permanente.",2023-09-07 12:54:07,"desde global innovations, XY informa: recientemente he tenido un inconveniente: el wifi sigue cayéndose, es imposible trabajar. necesito una solución permanente."
0010027,Problemas con la tarjeta de red inalámbrica.,2022-09-03 19:07:29,"esto pasa desde ayer: problemas con la tarjeta de red inalámbrica.. atentamente, XY de secureit."
0010037,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-01-26 20:41:11,"XY (secureit) reporta el siguiente inconveniente: hoy ha ocurrido lo siguiente: batería no carga, sobrecalentamiento y pantalla con píxeles muertos."
0010038,Necesito una indicación como la vez anterior que se pudo resolver rápidamente.,2023-11-05 04:19:10,"desde digital edge, XY informa: necesito una indicación como la vez anterior que se pudo resolver rápidamente.. a esto se suma el inconveniente de que pantalla con píxeles muertos."
0010039,"No enciende, posible problema de fuente de poder.",2023-01-08 07:00:11,"problema: hoy ha ocurrido lo siguiente: no enciende, posible problema de fuente de poder.. contacto: XY, secureit."
0010040,Puerto USB no reconoce dispositivos.,2022-01-01 04:58:48,"problema: he notado que desde la semana pasada: puerto usb no reconoce dispositivos.. contacto: XY mosquera, code builders."
0010041,Impresora no imprime y problemas de conectividad WiFi.,2022-02-13 11:22:14,reporte de secureit por parte de XY: impresora no imprime y problemas de conectividad wifi.
0010042,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2023-11-27 00:15:55,"reporte de digital edge por parte de XY: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!"
0010043,Mensajes de error constantes en el sistema.,2022-09-12 16:23:17,"problema: esto comenzó hace un par de horas: mensajes de error constantes en el sistema.. contacto: josefa XY, digital edge."
0010044,El sistema se reinicia constantemente.,2023-09-11 19:33:26,"problema: esto pasa desde ayer: el sistema se reinicia constantemente.. contacto: josefa XY, data dynamics."
0010045,El equipo no se conecta a internet después de una actualización.,2022-06-28 04:47:03,"desde global innovations, XY mosquera informa: recientemente he tenido un inconveniente: el equipo no se conecta a internet después de una actualización."
0010046,No puedo instalar nuevas aplicaciones.,2022-01-12 12:26:25,soy XY de XY y tengo el siguiente problema: he notado que desde la semana pasada: no puedo instalar nuevas aplicaciones.
0010047,Problemas con el reconocimiento de huella dactilar.,2023-09-08 21:52:09,XY funes (XY) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: problemas con el reconocimiento de huella dactilar.
0010048,¿Por qué siempre me pasa esto a mí?,2023-04-21 22:31:28,XY (networks corp) reporta el siguiente inconveniente: ¿por qué siempre me pasa esto a mí?
0010049,Problemas de licencias y antivirus ineficaz.,2023-06-20 08:57:38,"el problema se presenta desde hace unos días: problemas de licencias y antivirus ineficaz.. atentamente, XY de secureit."
0010050,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2022-03-28 04:08:25,"XY (networks corp) reporta el siguiente inconveniente: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio."
0010051,Pantalla táctil no responde y sincronización de nube fallida.,2023-04-23 12:09:53,"desde XY, XY informa: esto comenzó hace un par de horas: pantalla táctil no responde y sincronización de nube fallida."
0010052,"Archivos corruptos, puerto USB fallando y navegador lento.",2022-11-04 03:01:13,"soy XY de future systems y tengo el siguiente problema: archivos corruptos, puerto usb fallando y navegador lento."
0010053,El equipo no arranca desde el disco principal.,2022-05-16 01:37:39,"problema: el equipo no arranca desde el disco principal.. contacto: XY mosquera, code builders."
0010054,El antivirus detecta amenazas pero no las elimina.,2022-05-19 09:58:00,"desde secureit, XY informa: el antivirus detecta amenazas pero no las elimina."
0010055,El disco duro está lleno.,2023-09-16 03:39:16,"problema: hoy ha ocurrido lo siguiente: el disco duro está lleno.. también quiero reportar que necesito una indicación como la vez anterior que se pudo resolver rápidamente.. contacto: XY, XY."
0010056,"Problemas de seguridad, posible infección de malware.",2023-07-01 04:56:00,"problema: problemas de seguridad, posible infección de malware.. contacto: josefa XY, XY."
0010057,Problemas de conectividad WiFi intermitente.,2023-03-17 18:21:30,XY (networks corp) reporta el siguiente inconveniente: he notado que desde la semana pasada: problemas de conectividad wifi intermitente.
0010058,Monitor externo no detectado y no hay señal de video.,2022-05-04 22:10:20,reporte de XY por parte de XY: monitor externo no detectado y no hay señal de video.
0010003,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-05-23 06:41:10,"problema: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. también quiero reportar que cámara web no funciona.. contacto: XY, future systems."
0010057,Puertos USB no reconocen dispositivos y archivos corruptos.,2022-02-16 04:44:21,soy XY de networks corp y tengo el siguiente problema: recientemente he tenido un inconveniente: puertos usb no reconocen dispositivos y archivos corruptos.
0010059,Estoy perdiendo la paciencia con este dispositivo.,2022-11-14 08:54:28,"reporte de future systems por parte de XY mosquera: he notado que desde la semana pasada: estoy perdiendo la paciencia con este dispositivo.. y para colmo, error de sistema, disco duro lleno y necesidad de nuevo software."
0010060,"WiFi intermitente, impresora no detectada y problemas de seguridad.",2023-03-02 04:49:14,"XY asprilla (XY) reporta el siguiente inconveniente: esto pasa desde ayer: wifi intermitente, impresora no detectada y problemas de seguridad."
0010061,Estoy harto de los problemas con este software.,2022-03-15 15:40:02,XY (XY) reporta el siguiente inconveniente: esto pasa desde ayer: estoy harto de los problemas con este software.
0010062,Pantalla parpadea y rendimiento general bajo.,2022-10-02 11:24:12,"pantalla parpadea y rendimiento general bajo.. a esto se suma el inconveniente de que estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?. atentamente, XY de code builders."
0010063,La impresora no funciona y tengo que entregar unos documentos importantes hoy. ¿Qué hago?,2022-12-21 17:47:05,reporte de XY por parte de XY: la impresora no funciona y tengo que entregar unos documentos importantes hoy. ¿qué hago?
0010064,"WiFi intermitente, impresora no detectada y problemas de seguridad.",2023-01-10 07:38:42,"desde code builders, XY informa: wifi intermitente, impresora no detectada y problemas de seguridad."
0010065,¿Me pueden agendar una cita para resolverlo lo antes posible?,2022-09-09 00:45:19,"XY cala (XY) reporta el siguiente inconveniente: ¿me pueden agendar una cita para resolverlo lo antes posible?. además, también he notado que archivos corruptos, puerto usb fallando y navegador lento."
0010004,"No enciende, problemas de audio y cámara web no funciona.",2023-09-11 22:34:09,"soy XY de global innovations y tengo el siguiente problema: no enciende, problemas de audio y cámara web no funciona."
0010061,El WiFi es intermitente y el sistema está lento.,2022-02-10 07:32:23,"desde digital edge, XY informa: he notado que desde la semana pasada: el wifi es intermitente y el sistema está lento."
0010043,El ventilador hace mucho ruido y el equipo se calienta demasiado.,2023-12-16 10:05:57,"josefa XY (XY) reporta el siguiente inconveniente: esto pasa desde ayer: el ventilador hace mucho ruido y el equipo se calienta demasiado.. y para colmo, conectividad wifi inestable, lentitud general y fallos de hardware."
0010006,El equipo no enciende y la pantalla tiene píxeles muertos.,2023-03-04 04:12:03,reporte de secureit por parte de josefa XY: el equipo no enciende y la pantalla tiene píxeles muertos.
0010033,"Software no responde, se congela frecuentemente.",2023-05-15 01:32:46,"problema: recientemente he tenido un inconveniente: software no responde, se congela frecuentemente.. contacto: XY funes, cloud services."
0010005,Batería no carga correctamente.,2023-12-18 19:05:34,XY (XY) reporta el siguiente inconveniente: batería no carga correctamente.
0010041,Fallo en el disco duro y problemas con el sistema operativo.,2023-01-23 03:06:21,"problema: fallo en el disco duro y problemas con el sistema operativo.. contacto: XY, global innovations."
0010066,"Problemas con el audio, no se escucha nada.",2023-11-03 12:02:18,"XY asprilla (networks corp) reporta el siguiente inconveniente: he notado que desde la semana pasada: problemas con el audio, no se escucha nada.. además, también he notado que error de disco duro y sistema lento."
0010067,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-05-04 08:23:45,"problema: he notado que desde la semana pasada: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. contacto: XY, data dynamics."
0010068,Micrófono no detectado.,2022-05-21 20:57:12,"desde code builders, XY informa: micrófono no detectado."
0010047,No puedo instalar nuevas aplicaciones.,2022-12-14 23:15:36,XY funes (global innovations) reporta el siguiente inconveniente: no puedo instalar nuevas aplicaciones.
0010069,Problemas con el reconocimiento de huella dactilar.,2023-01-08 07:00:08,"he notado que desde la semana pasada: problemas con el reconocimiento de huella dactilar.. también quiero reportar que problemas de seguridad, software no responde y reinicios aleatorios.. atentamente, XY de code builders."
0010019,"No enciende, posible problema de fuente de poder.",2022-01-07 06:58:24,"problema: he notado que desde la semana pasada: no enciende, posible problema de fuente de poder.. contacto: josefa XY, digital edge."
0010070,Cámara web no funciona.,2023-03-21 00:23:02,soy XY cala de XY y tengo el siguiente problema: esto pasa desde ayer: cámara web no funciona.
0010071,El disco duro emite ruidos extraños y hay lentitud general.,2022-05-04 00:55:13,XY valderrama (global innovations) reporta el siguiente inconveniente: esto pasa desde ayer: el disco duro emite ruidos extraños y hay lentitud general.
0010017,Puerto USB no reconoce dispositivos.,2022-05-19 00:38:16,"reporte de global innovations por parte de XY mosquera: puerto usb no reconoce dispositivos.. y para colmo, impresora no detectada o no imprime."
0010024,"Fallo de memoria RAM, pantallazos azules.",2022-04-25 18:41:52,"soy XY de future systems y tengo el siguiente problema: esto comenzó hace un par de horas: fallo de memoria ram, pantallazos azules."
0010072,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2022-12-24 15:59:18,"problema: hoy ha ocurrido lo siguiente: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!. contacto: XY cala, XY."
0010073,Software de ofimática no se abre.,2022-10-16 22:18:59,XY (cloud services) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: software de ofimática no se abre.
0010074,No hay señal de video en el monitor.,2023-07-16 19:24:22,"desde digital edge, XY informa: esto comenzó hace un par de horas: no hay señal de video en el monitor."
0010075,"Archivos corruptos, puerto USB fallando y navegador lento.",2022-06-10 05:38:50,"problema: archivos corruptos, puerto usb fallando y navegador lento.. contacto: XY valderrama, future systems."
0010076,"Por favor, envíen a a un técnico a mi oficina.",2022-08-29 13:06:51,"esto comenzó hace un par de horas: por favor, envíen a a un técnico a mi oficina.. atentamente, XY de global innovations."
0010077,Pantalla externa no detectada y errores gráficos.,2022-01-17 04:12:22,"problema: esto pasa desde ayer: pantalla externa no detectada y errores gráficos.. también quiero reportar que se ha olvidado la contraseña de usuario.. contacto: XY, cloud services."
0010078,Problemas con el teclado o el ratón.,2023-03-28 07:43:46,"hoy ha ocurrido lo siguiente: problemas con el teclado o el ratón.. atentamente, XY de digital edge."
0010079,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2022-03-05 11:08:11,"XY (code builders) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: batería agotada rápidamente, sobrecalentamiento y fallos de energía."
0010068,Teclas del teclado no responden y el touchpad se congela.,2022-02-27 22:24:16,reporte de global innovations por parte de XY: el problema se presenta desde hace unos días: teclas del teclado no responden y el touchpad se congela.
0010039,"Teclado no funciona, ratón se traba y pantalla con problemas.",2023-08-21 01:20:46,"problema: teclado no funciona, ratón se traba y pantalla con problemas.. contacto: XY, global innovations."
0010080,Problemas con el software de correo electrónico.,2023-08-13 17:25:27,"desde XY, XY informa: problemas con el software de correo electrónico."
0010081,El disco duro emite ruidos extraños y hay lentitud general.,2022-11-27 22:38:31,soy XY cala de XY y tengo el siguiente problema: esto pasa desde ayer: el disco duro emite ruidos extraños y hay lentitud general.
0010066,"El ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.",2022-02-20 05:15:47,"problema: el ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.. contacto: XY asprilla, code builders."
0010082,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-08-01 05:10:01,"esto pasa desde ayer: batería no carga, sobrecalentamiento y pantalla con píxeles muertos.. atentamente, XY de global innovations."
0010083,Software no responde y el ventilador hace mucho ruido.,2023-12-17 15:13:50,XY (code builders) reporta el siguiente inconveniente: hoy ha ocurrido lo siguiente: software no responde y el ventilador hace mucho ruido.
0010084,Pantalla táctil no responde y sincronización de nube fallida.,2022-11-26 07:48:10,soy XY de XY y tengo el siguiente problema: hoy ha ocurrido lo siguiente: pantalla táctil no responde y sincronización de nube fallida.
0010085,La pantalla táctil no responde.,2023-09-29 22:10:14,soy josefa funes de secureit y tengo el siguiente problema: he notado que desde la semana pasada: la pantalla táctil no responde.
0010055,Pantalla parpadea y rendimiento general bajo.,2022-01-01 02:27:39,"desde XY, XY informa: pantalla parpadea y rendimiento general bajo.. a esto se suma el inconveniente de que teclas del teclado no responden."
0010086,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2023-11-07 02:38:37,"problema: hoy ha ocurrido lo siguiente: rendimiento bajo, ventilador ruidoso y teclado defectuoso.. contacto: XY, data dynamics."
0010087,Estoy perdiendo la paciencia con este dispositivo.,2022-10-03 22:21:08,reporte de XY por parte de XY: el problema se presenta desde hace unos días: estoy perdiendo la paciencia con este dispositivo.
0010088,Software se cierra solo y errores frecuentes.,2023-07-19 07:07:01,soy josefa XY de code builders y tengo el siguiente problema: recientemente he tenido un inconveniente: software se cierra solo y errores frecuentes.
0010089,La impresora no se detecta y hay fallos de seguridad.,2023-05-20 14:29:29,"soy XY cala de cloud services y tengo el siguiente problema: la impresora no se detecta y hay fallos de seguridad.. y para colmo, problemas de conectividad de red y fallos en la navegación."
0010090,¿Pueden guiarme paso a paso para solucionarlo?,2023-05-05 00:59:51,reporte de global innovations por parte de XY: ¿pueden guiarme paso a paso para solucionarlo?. también quiero reportar que problemas con el rendimiento de la batería y sobrecalentamiento constante.
0010091,"Problemas con aplicaciones específicas, cierres inesperados.",2023-09-22 10:10:39,"reporte de future systems por parte de XY: he notado que desde la semana pasada: problemas con aplicaciones específicas, cierres inesperados."
0010092,Conexión de red inestable y actualizaciones fallidas.,2022-11-01 23:03:08,"desde data dynamics, XY informa: esto pasa desde ayer: conexión de red inestable y actualizaciones fallidas."
0010093,Software se cierra solo y errores frecuentes.,2023-04-10 13:08:23,"problema: el problema se presenta desde hace unos días: software se cierra solo y errores frecuentes.. contacto: XY, XY."
0010094,Batería no carga correctamente.,2023-02-18 08:26:46,"desde data dynamics, XY informa: he notado que desde la semana pasada: batería no carga correctamente.. a esto se suma el inconveniente de que quiero hablar con un supervisor, esto no puede seguir así."
0010052,"Software no responde, sistema lento y fallo en disco duro.",2022-04-17 16:59:13,"soy XY de XY y tengo el siguiente problema: he notado que desde la semana pasada: software no responde, sistema lento y fallo en disco duro."
0010095,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2022-09-21 19:58:45,"rendimiento bajo, ventilador ruidoso y teclado defectuoso.. atentamente, XY mosquera de digital edge."
0010096,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-03-03 13:18:13,"soy XY de XY y tengo el siguiente problema: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. y para colmo, archivos corruptos, puerto usb fallando y navegador lento."
0010097,Antivirus detecta amenazas y el navegador web está lento.,2023-07-16 18:45:59,"desde future systems, XY informa: antivirus detecta amenazas y el navegador web está lento.. y para colmo, touchpad o ratón se congela."
0010098,Conexión de red inestable y actualizaciones fallidas.,2022-03-16 05:43:28,"desde networks corp, XY informa: el problema se presenta desde hace unos días: conexión de red inestable y actualizaciones fallidas.. además, también he notado que no enciende, posible problema de fuente de poder."
0010099,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2022-11-04 05:52:56,"problema: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.. contacto: XY, data dynamics."
0010016,Estoy muy preocupado por la pérdida de mis datos.,2023-06-10 16:33:09,"estoy muy preocupado por la pérdida de mis datos.. atentamente, XY de secureit."
0010084,"Esta es la tercera vez en el mes que tengo este problema, ¿hay alguna solución definitiva?",2023-06-19 01:24:44,"problema: esta es la tercera vez en el mes que tengo este problema, ¿hay alguna solución definitiva?. además, también he notado que pantalla táctil no responde y sincronización de nube fallida.. contacto: XY, code builders."
0010100,"Fallo de memoria RAM, pantallazos azules.",2023-09-06 17:55:17,"XY (cloud services) reporta el siguiente inconveniente: he notado que desde la semana pasada: fallo de memoria ram, pantallazos azules."
0010101,El disco duro emite ruidos extraños y hay lentitud general.,2023-02-01 06:56:43,josefa XY (networks corp) reporta el siguiente inconveniente: el disco duro emite ruidos extraños y hay lentitud general.
0010102,Se ha olvidado la contraseña de usuario.,2022-05-25 13:05:24,"XY (XY) reporta el siguiente inconveniente: esto pasa desde ayer: se ha olvidado la contraseña de usuario.. además, también he notado que esta es la tercera vez en el mes que tengo este problema, ¿hay alguna solución definitiva?"
0010056,Teclas pegajosas o que no responden y el touchpad salta.,2023-06-03 13:17:21,"desde XY, josefa XY informa: el problema se presenta desde hace unos días: teclas pegajosas o que no responden y el touchpad salta."
0010103,"Problemas de seguridad, software no responde y reinicios aleatorios.",2022-12-27 03:11:16,"problema: problemas de seguridad, software no responde y reinicios aleatorios.. contacto: XY valderrama, secureit."
0010010,"Sistema operativo lento, necesita optimización.",2023-03-01 16:54:08,"XY (cloud services) reporta el siguiente inconveniente: recientemente he tenido un inconveniente: sistema operativo lento, necesita optimización."
0010104,"Error en la BIOS/UEFI, el equipo no arranca.",2022-06-29 08:55:19,"soy XY de networks corp y tengo el siguiente problema: el problema se presenta desde hace unos días: error en la bios/uefi, el equipo no arranca."
0010036,Estoy harto de los problemas con este software.,2023-02-21 17:27:01,"XY (digital edge) reporta el siguiente inconveniente: estoy harto de los problemas con este software.. y para colmo, fallo en el disco duro y problemas con el sistema operativo."
0010105,Batería no carga correctamente.,2023-02-23 06:02:56,soy XY de networks corp y tengo el siguiente problema: batería no carga correctamente.
0010106,"Por favor, díganme qué necesito comprar para arreglarlo.",2022-02-19 17:39:47,"desde data dynamics, XY informa: por favor, díganme qué necesito comprar para arreglarlo.. a esto se suma el inconveniente de que sobrecalentamiento del equipo."
0010102,Archivos corruptos y no se pueden abrir.,2023-03-20 20:04:52,XY (XY) reporta el siguiente inconveniente: esto comenzó hace un par de horas: archivos corruptos y no se pueden abrir.
0010082,Impresora no imprime y problemas de conectividad WiFi.,2023-07-23 08:07:13,soy XY de XY y tengo el siguiente problema: impresora no imprime y problemas de conectividad wifi.
0010107,"Estoy realmente frustrado, mi equipo no funciona desde hace días.",2022-07-29 11:48:49,"problema: el problema se presenta desde hace unos días: estoy realmente frustrado, mi equipo no funciona desde hace días.. contacto: XY cala, XY."
0010108,"Fallo en disco duro, pérdida de datos.",2023-08-10 08:43:01,"soy josefa XY de cloud services y tengo el siguiente problema: he notado que desde la semana pasada: fallo en disco duro, pérdida de datos."
0010021,Software de ofimática no se abre.,2023-09-24 08:17:09,soy XY mosquera de digital edge y tengo el siguiente problema: software de ofimática no se abre.
0010109,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2023-06-18 08:39:53,"reporte de global innovations por parte de XY: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio."
0010035,Se ha olvidado la contraseña de usuario.,2023-11-12 14:30:18,"problema: esto pasa desde ayer: se ha olvidado la contraseña de usuario.. contacto: XY funes, future systems."
0010029,No se puede abrir ningún programa y el sistema está congelado.,2023-03-12 23:17:58,"XY funes (networks corp) reporta el siguiente inconveniente: no se puede abrir ningún programa y el sistema está congelado.. además, también he notado que software se congela, lentitud y fallo en disco duro."
