ID Usuario,subject,fecha_recepcion_requerimiento,descriptions_anonymized,tipo_mantenimiento
10039,"No enciende, posible problema de fuente de poder.",2023-01-08 07:00:11,"problema: hoy ha ocurrido lo siguiente: no enciende, posible problema de fuente de poder.. contacto: XY, secureit.",Mantenimiento Correctivo
10040,Puerto USB no reconoce dispositivos.,2022-01-01 04:58:48,"problema: he notado que desde la semana pasada: puerto usb no reconoce dispositivos.. contacto: XY mosquera, code builders.",Mantenimiento Correctivo
10041,Impresora no imprime y problemas de conectividad WiFi.,2022-02-13 11:22:14,reporte de secureit por parte de XY: impresora no imprime y problemas de conectividad wifi.,Mantenimiento Correctivo
10042,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2023-11-27 00:15:55,"reporte de digital edge por parte de XY: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",Mantenimiento Correctivo
10043,Mensajes de error constantes en el sistema.,2022-09-12 16:23:17,"problema: esto comenzó hace un par de horas: mensajes de error constantes en el sistema.. contacto: josefa XY, digital edge.",Mantenimiento Correctivo
10044,El sistema se reinicia constantemente.,2023-09-11 19:33:26,"problema: esto pasa desde ayer: el sistema se reinicia constantemente.. contacto: josefa XY, data dynamics.",Mantenimiento Correctivo
10045,El equipo no se conecta a internet después de una actualización.,2022-06-28 04:47:03,"desde global innovations, XY mosquera informa: recientemente he tenido un inconveniente: el equipo no se conecta a internet después de una actualización.",Mantenimiento Correctivo
10046,No puedo instalar nuevas aplicaciones.,2022-01-12 12:26:25,soy XY de XY y tengo el siguiente problema: he notado que desde la semana pasada: no puedo instalar nuevas aplicaciones.,Mantenimiento Correctivo
10047,Problemas con el reconocimiento de huella dactilar.,2023-09-08 21:52:09,XY funes (XY) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: problemas con el reconocimiento de huella dactilar.,Mantenimiento Correctivo
10048,¿Por qué siempre me pasa esto a mí?,2023-04-21 22:31:28,XY (networks corp) reporta el siguiente inconveniente: ¿por qué siempre me pasa esto a mí?,Mantenimiento Correctivo
10049,Problemas de licencias y antivirus ineficaz.,2023-06-20 08:57:38,"el problema se presenta desde hace unos días: problemas de licencias y antivirus ineficaz.. atentamente, XY de secureit.",Mantenimiento Correctivo
10050,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2022-03-28 04:08:25,"XY (networks corp) reporta el siguiente inconveniente: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",Mantenimiento Correctivo
10051,Pantalla táctil no responde y sincronización de nube fallida.,2023-04-23 12:09:53,"desde XY, XY informa: esto comenzó hace un par de horas: pantalla táctil no responde y sincronización de nube fallida.",Mantenimiento Correctivo
10052,"Archivos corruptos, puerto USB fallando y navegador lento.",2022-11-04 03:01:13,"soy XY de future systems y tengo el siguiente problema: archivos corruptos, puerto usb fallando y navegador lento.",Mantenimiento Correctivo
10053,El equipo no arranca desde el disco principal.,2022-05-16 01:37:39,"problema: el equipo no arranca desde el disco principal.. contacto: XY mosquera, code builders.",Mantenimiento Correctivo
10054,El antivirus detecta amenazas pero no las elimina.,2022-05-19 09:58:00,"desde secureit, XY informa: el antivirus detecta amenazas pero no las elimina.",Mantenimiento Correctivo
10055,El disco duro está lleno.,2023-09-16 03:39:16,"problema: hoy ha ocurrido lo siguiente: el disco duro está lleno.. también quiero reportar que necesito una indicación como la vez anterior que se pudo resolver rápidamente.. contacto: XY, XY.",Mantenimiento Correctivo
10056,"Problemas de seguridad, posible infección de malware.",2023-07-01 04:56:00,"problema: problemas de seguridad, posible infección de malware.. contacto: josefa XY, XY.",Mantenimiento Correctivo
10057,Problemas de conectividad WiFi intermitente.,2023-03-17 18:21:30,XY (networks corp) reporta el siguiente inconveniente: he notado que desde la semana pasada: problemas de conectividad wifi intermitente.,Mantenimiento Correctivo
10058,Monitor externo no detectado y no hay señal de video.,2022-05-04 22:10:20,reporte de XY por parte de XY: monitor externo no detectado y no hay señal de video.,Mantenimiento Correctivo
10003,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-05-23 06:41:10,"problema: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. también quiero reportar que cámara web no funciona.. contacto: XY, future systems.",Mantenimiento Correctivo
10057,Puertos USB no reconocen dispositivos y archivos corruptos.,2022-02-16 04:44:21,soy XY de networks corp y tengo el siguiente problema: recientemente he tenido un inconveniente: puertos usb no reconocen dispositivos y archivos corruptos.,Mantenimiento Correctivo
10059,Estoy perdiendo la paciencia con este dispositivo.,2022-11-14 08:54:28,"reporte de future systems por parte de XY mosquera: he notado que desde la semana pasada: estoy perdiendo la paciencia con este dispositivo.. y para colmo, error de sistema, disco duro lleno y necesidad de nuevo software.",Mantenimiento Correctivo
10060,"WiFi intermitente, impresora no detectada y problemas de seguridad.",2023-03-02 04:49:14,"XY asprilla (XY) reporta el siguiente inconveniente: esto pasa desde ayer: wifi intermitente, impresora no detectada y problemas de seguridad.",Mantenimiento Correctivo
10061,Estoy harto de los problemas con este software.,2022-03-15 15:40:02,XY (XY) reporta el siguiente inconveniente: esto pasa desde ayer: estoy harto de los problemas con este software.,Mantenimiento Correctivo
10062,Pantalla parpadea y rendimiento general bajo.,2022-10-02 11:24:12,"pantalla parpadea y rendimiento general bajo.. a esto se suma el inconveniente de que estoy muy preocupado por la seguridad de mis datos, ¿pueden ayudarme a recuperarlos?. atentamente, XY de code builders.",Mantenimiento Correctivo
10063,La impresora no funciona y tengo que entregar unos documentos importantes hoy. ¿Qué hago?,2022-12-21 17:47:05,reporte de XY por parte de XY: la impresora no funciona y tengo que entregar unos documentos importantes hoy. ¿qué hago?,Mantenimiento Correctivo
10064,"WiFi intermitente, impresora no detectada y problemas de seguridad.",2023-01-10 07:38:42,"desde code builders, XY informa: wifi intermitente, impresora no detectada y problemas de seguridad.",Mantenimiento Correctivo
10065,¿Me pueden agendar una cita para resolverlo lo antes posible?,2022-09-09 00:45:19,"XY cala (XY) reporta el siguiente inconveniente: ¿me pueden agendar una cita para resolverlo lo antes posible?. además, también he notado que archivos corruptos, puerto usb fallando y navegador lento.",Mantenimiento Correctivo
10004,"No enciende, problemas de audio y cámara web no funciona.",2023-09-11 22:34:09,"soy XY de global innovations y tengo el siguiente problema: no enciende, problemas de audio y cámara web no funciona.",Mantenimiento Correctivo
10061,El WiFi es intermitente y el sistema está lento.,2022-02-10 07:32:23,"desde digital edge, XY informa: he notado que desde la semana pasada: el wifi es intermitente y el sistema está lento.",Mantenimiento Correctivo
10043,El ventilador hace mucho ruido y el equipo se calienta demasiado.,2023-12-16 10:05:57,"josefa XY (XY) reporta el siguiente inconveniente: esto pasa desde ayer: el ventilador hace mucho ruido y el equipo se calienta demasiado.. y para colmo, conectividad wifi inestable, lentitud general y fallos de hardware.",Mantenimiento Correctivo
10006,El equipo no enciende y la pantalla tiene píxeles muertos.,2023-03-04 04:12:03,reporte de secureit por parte de josefa XY: el equipo no enciende y la pantalla tiene píxeles muertos.,Mantenimiento Correctivo
10033,"Software no responde, se congela frecuentemente.",2023-05-15 01:32:46,"problema: recientemente he tenido un inconveniente: software no responde, se congela frecuentemente.. contacto: XY funes, cloud services.",Mantenimiento Correctivo
10005,Batería no carga correctamente.,2023-12-18 19:05:34,XY (XY) reporta el siguiente inconveniente: batería no carga correctamente.,Mantenimiento Correctivo
10041,Fallo en el disco duro y problemas con el sistema operativo.,2023-01-23 03:06:21,"problema: fallo en el disco duro y problemas con el sistema operativo.. contacto: XY, global innovations.",Mantenimiento Correctivo
10066,"Problemas con el audio, no se escucha nada.",2023-11-03 12:02:18,"XY asprilla (networks corp) reporta el siguiente inconveniente: he notado que desde la semana pasada: problemas con el audio, no se escucha nada.. además, también he notado que error de disco duro y sistema lento.",Mantenimiento Correctivo
10067,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-05-04 08:23:45,"problema: he notado que desde la semana pasada: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. contacto: XY, data dynamics.",Mantenimiento Correctivo
10068,Micrófono no detectado.,2022-05-21 20:57:12,"desde code builders, XY informa: micrófono no detectado.",Mantenimiento Correctivo
10047,No puedo instalar nuevas aplicaciones.,2022-12-14 23:15:36,XY funes (global innovations) reporta el siguiente inconveniente: no puedo instalar nuevas aplicaciones.,Mantenimiento Correctivo
10069,Problemas con el reconocimiento de huella dactilar.,2023-01-08 07:00:08,"he notado que desde la semana pasada: problemas con el reconocimiento de huella dactilar.. también quiero reportar que problemas de seguridad, software no responde y reinicios aleatorios.. atentamente, XY de code builders.",Mantenimiento Correctivo
10019,"No enciende, posible problema de fuente de poder.",2022-01-07 06:58:24,"problema: he notado que desde la semana pasada: no enciende, posible problema de fuente de poder.. contacto: josefa XY, digital edge.",Mantenimiento Correctivo
10070,Cámara web no funciona.,2023-03-21 00:23:02,soy XY cala de XY y tengo el siguiente problema: esto pasa desde ayer: cámara web no funciona.,Mantenimiento Correctivo
10071,El disco duro emite ruidos extraños y hay lentitud general.,2022-05-04 00:55:13,XY valderrama (global innovations) reporta el siguiente inconveniente: esto pasa desde ayer: el disco duro emite ruidos extraños y hay lentitud general.,Mantenimiento Correctivo
10017,Puerto USB no reconoce dispositivos.,2022-05-19 00:38:16,"reporte de global innovations por parte de XY mosquera: puerto usb no reconoce dispositivos.. y para colmo, impresora no detectada o no imprime.",Mantenimiento Correctivo
10024,"Fallo de memoria RAM, pantallazos azules.",2022-04-25 18:41:52,"soy XY de future systems y tengo el siguiente problema: esto comenzó hace un par de horas: fallo de memoria ram, pantallazos azules.",Mantenimiento Correctivo
10072,"Mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!",2022-12-24 15:59:18,"problema: hoy ha ocurrido lo siguiente: mi laptop no enciende y tengo una presentación importante mañana, ¡ayuda!. contacto: XY cala, XY.",Mantenimiento Correctivo
10073,Software de ofimática no se abre.,2022-10-16 22:18:59,XY (cloud services) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: software de ofimática no se abre.,Mantenimiento Correctivo
10074,No hay señal de video en el monitor.,2023-07-16 19:24:22,"desde digital edge, XY informa: esto comenzó hace un par de horas: no hay señal de video en el monitor.",Mantenimiento Correctivo
10075,"Archivos corruptos, puerto USB fallando y navegador lento.",2022-06-10 05:38:50,"problema: archivos corruptos, puerto usb fallando y navegador lento.. contacto: XY valderrama, future systems.",Mantenimiento Correctivo
10076,"Por favor, envíen a a un técnico a mi oficina.",2022-08-29 13:06:51,"esto comenzó hace un par de horas: por favor, envíen a a un técnico a mi oficina.. atentamente, XY de global innovations.",Mantenimiento Correctivo
10077,Pantalla externa no detectada y errores gráficos.,2022-01-17 04:12:22,"problema: esto pasa desde ayer: pantalla externa no detectada y errores gráficos.. también quiero reportar que se ha olvidado la contraseña de usuario.. contacto: XY, cloud services.",Mantenimiento Correctivo
10078,Problemas con el teclado o el ratón.,2023-03-28 07:43:46,"hoy ha ocurrido lo siguiente: problemas con el teclado o el ratón.. atentamente, XY de digital edge.",Mantenimiento Correctivo
10079,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2022-03-05 11:08:11,"XY (code builders) reporta el siguiente inconveniente: el problema se presenta desde hace unos días: batería agotada rápidamente, sobrecalentamiento y fallos de energía.",Mantenimiento Correctivo
10068,Teclas del teclado no responden y el touchpad se congela.,2022-02-27 22:24:16,reporte de global innovations por parte de XY: el problema se presenta desde hace unos días: teclas del teclado no responden y el touchpad se congela.,Mantenimiento Correctivo
10039,"Teclado no funciona, ratón se traba y pantalla con problemas.",2023-08-21 01:20:46,"problema: teclado no funciona, ratón se traba y pantalla con problemas.. contacto: XY, global innovations.",Mantenimiento Correctivo
10080,Problemas con el software de correo electrónico.,2023-08-13 17:25:27,"desde XY, XY informa: problemas con el software de correo electrónico.",Mantenimiento Correctivo
10081,El disco duro emite ruidos extraños y hay lentitud general.,2022-11-27 22:38:31,soy XY cala de XY y tengo el siguiente problema: esto pasa desde ayer: el disco duro emite ruidos extraños y hay lentitud general.,Mantenimiento Correctivo
10066,"El ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.",2022-02-20 05:15:47,"problema: el ventilador hace un ruido insoportable y el equipo se calienta demasiado, ya no aguanto más.. contacto: XY asprilla, code builders.",Mantenimiento Correctivo
10082,"Batería no carga, sobrecalentamiento y pantalla con píxeles muertos.",2023-08-01 05:10:01,"esto pasa desde ayer: batería no carga, sobrecalentamiento y pantalla con píxeles muertos.. atentamente, XY de global innovations.",Mantenimiento Correctivo
10083,Software no responde y el ventilador hace mucho ruido.,2023-12-17 15:13:50,XY (code builders) reporta el siguiente inconveniente: hoy ha ocurrido lo siguiente: software no responde y el ventilador hace mucho ruido.,Mantenimiento Correctivo
10084,Pantalla táctil no responde y sincronización de nube fallida.,2022-11-26 07:48:10,soy XY de XY y tengo el siguiente problema: hoy ha ocurrido lo siguiente: pantalla táctil no responde y sincronización de nube fallida.,Mantenimiento Correctivo
10085,La pantalla táctil no responde.,2023-09-29 22:10:14,soy josefa funes de secureit y tengo el siguiente problema: he notado que desde la semana pasada: la pantalla táctil no responde.,Mantenimiento Correctivo
10055,Pantalla parpadea y rendimiento general bajo.,2022-01-01 02:27:39,"desde XY, XY informa: pantalla parpadea y rendimiento general bajo.. a esto se suma el inconveniente de que teclas del teclado no responden.",Mantenimiento Correctivo
10086,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2023-11-07 02:38:37,"problema: hoy ha ocurrido lo siguiente: rendimiento bajo, ventilador ruidoso y teclado defectuoso.. contacto: XY, data dynamics.",Mantenimiento Correctivo
10087,Estoy perdiendo la paciencia con este dispositivo.,2022-10-03 22:21:08,reporte de XY por parte de XY: el problema se presenta desde hace unos días: estoy perdiendo la paciencia con este dispositivo.,Mantenimiento Correctivo
10088,Software se cierra solo y errores frecuentes.,2023-07-19 07:07:01,soy josefa XY de code builders y tengo el siguiente problema: recientemente he tenido un inconveniente: software se cierra solo y errores frecuentes.,Mantenimiento Correctivo
10089,La impresora no se detecta y hay fallos de seguridad.,2023-05-20 14:29:29,"soy XY cala de cloud services y tengo el siguiente problema: la impresora no se detecta y hay fallos de seguridad.. y para colmo, problemas de conectividad de red y fallos en la navegación.",Mantenimiento Correctivo
10090,¿Pueden guiarme paso a paso para solucionarlo?,2023-05-05 00:59:51,reporte de global innovations por parte de XY: ¿pueden guiarme paso a paso para solucionarlo?. también quiero reportar que problemas con el rendimiento de la batería y sobrecalentamiento constante.,Mantenimiento Correctivo
10091,"Problemas con aplicaciones específicas, cierres inesperados.",2023-09-22 10:10:39,"reporte de future systems por parte de XY: he notado que desde la semana pasada: problemas con aplicaciones específicas, cierres inesperados.",Mantenimiento Correctivo
10092,Conexión de red inestable y actualizaciones fallidas.,2022-11-01 23:03:08,"desde data dynamics, XY informa: esto pasa desde ayer: conexión de red inestable y actualizaciones fallidas.",Mantenimiento Correctivo
10093,Software se cierra solo y errores frecuentes.,2023-04-10 13:08:23,"problema: el problema se presenta desde hace unos días: software se cierra solo y errores frecuentes.. contacto: XY, XY.",Mantenimiento Correctivo
10094,Batería no carga correctamente.,2023-02-18 08:26:46,"desde data dynamics, XY informa: he notado que desde la semana pasada: batería no carga correctamente.. a esto se suma el inconveniente de que quiero hablar con un supervisor, esto no puede seguir así.",Mantenimiento Correctivo
10052,"Software no responde, sistema lento y fallo en disco duro.",2022-04-17 16:59:13,"soy XY de XY y tengo el siguiente problema: he notado que desde la semana pasada: software no responde, sistema lento y fallo en disco duro.",Mantenimiento Correctivo
10095,"Rendimiento bajo, ventilador ruidoso y teclado defectuoso.",2022-09-21 19:58:45,"rendimiento bajo, ventilador ruidoso y teclado defectuoso.. atentamente, XY mosquera de digital edge.",Mantenimiento Correctivo
10096,"Batería agotada rápidamente, sobrecalentamiento y fallos de energía.",2023-03-03 13:18:13,"soy XY de XY y tengo el siguiente problema: batería agotada rápidamente, sobrecalentamiento y fallos de energía.. y para colmo, archivos corruptos, puerto usb fallando y navegador lento.",Mantenimiento Correctivo
10097,Antivirus detecta amenazas y el navegador web está lento.,2023-07-16 18:45:59,"desde future systems, XY informa: antivirus detecta amenazas y el navegador web está lento.. y para colmo, touchpad o ratón se congela.",Mantenimiento Correctivo
10098,Conexión de red inestable y actualizaciones fallidas.,2022-03-16 05:43:28,"desde networks corp, XY informa: el problema se presenta desde hace unos días: conexión de red inestable y actualizaciones fallidas.. además, también he notado que no enciende, posible problema de fuente de poder.",Mantenimiento Correctivo
10099,"Esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.",2022-11-04 05:52:56,"problema: esto es inaceptable, necesito una solución de inmediato o cancelaré el servicio.. contacto: XY, data dynamics.",Mantenimiento Correctivo
10016,Estoy muy preocupado por la pérdida de mis datos.,2023-06-10 16:33:09,"estoy muy preocupado por la pérdida de mis datos.. atentamente, XY de secureit.",Mantenimiento Correctivo
10084,"Esta es la tercera vez en el mes que tengo este problema, ¿hay alguna solución definitiva?",2023-06-19 01:24:44,"problema: esta es la tercera vez en el mes que tengo este problema, ¿hay alguna solución definitiva?. además, también he notado que pantalla táctil no responde y sincronización de nube fallida.. contacto: XY, code builders.",Mantenimiento Correctivo
10100,"Fallo de memoria RAM, pantallazos azules.",2023-09-06 17:55:17,"XY (cloud services) reporta el siguiente inconveniente: he notado que desde la semana pasada: fallo de memoria ram, pantallazos azules.",Mantenimiento Correctivo
10101,El disco duro emite ruidos extraños y hay lentitud general.,2023-02-01 06:56:43,josefa XY (networks corp) reporta el siguiente inconveniente: el disco duro emite ruidos extraños y hay lentitud general.,Mantenimiento Correctivo
